image,id,nft_rank,rarity_score,img_url,is_one_of_one,color,face,head,clothes,hands,feet,background,trait_count,color,face,head,clothes,hands,feet,background,trait_count
,2547,1220,109.03,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2547,No,Pink,Bored,None,None,Anklet,None,Grey,1,43.7,6.6,2.8,4.27167877,28.1,3.1,4.2,16.2
,2548,1795,84.72,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2548,No,Grey,Scared,Coconut,Red Shorts,Claws,None,Yellow,3,3.6,37.5,15.6,6.430868167,7.9,3.1,8.2,2.4
,2549,4994,50.25,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2549,No,Brown,Angry,Warpaint,Red Shorts,Bandages,Bandages,Yellow,4,3.8,5.1,7.7,6.430868167,7.4,7.6,8.2,4.0
,2550,2225,74.06,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2550,No,Grey,Scared,Mohawk,None,Bandages,Black Gloves,Green,3,3.6,37.5,7.1,4.27167877,7.4,6.9,5.0,2.4
,2551,6970,44.84,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2551,No,Brown,Amazed,Red Mask,Red Shorts,Socks,None,Grey,3,3.8,7.8,9.7,6.430868167,7.5,3.1,4.2,2.4
,2552,5065,50.01,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2552,No,Brown,Fearless,Mohawk,Jeans,Claws,Claws,Yellow,4,3.8,3.1,7.1,4.894762604,7.9,11.0,8.2,4.0
,2553,3426,58.63,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2553,No,Red,Fearless,Mohawk,Wrestling Trunks,Bandages,Big Hands,Grey,4,4.7,3.1,7.1,11.80637544,7.4,16.3,4.2,4.0
,2554,5730,48.00,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2554,No,Brown,Fearless,Coconut,Diaper,Boots,Black Gloves,Grey,4,3.8,3.1,15.6,5.042864347,5.3,6.9,4.2,4.0
,2555,5720,48.02,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2555,No,Grey,Fearless,Warpaint,None,None,None,Blue,1,3.6,3.1,7.7,4.27167877,4.0,3.1,6.0,16.2
,2556,876,123.30,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2556,No,Red,Fearless,Monkey Hat,Red Shorts,Sneakers,None,Red,3,4.7,3.1,86.2,6.430868167,13.1,3.1,4.3,2.4
,2557,5189,49.51,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2557,No,Grey,Angry,Blue Mask,Diaper,Boots,Claws,Blue,4,3.6,5.1,9.5,5.042864347,5.3,11.0,6.0,4.0
,2558,1697,87.87,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2558,No,Brown,Scared,Blue Mask,Robe,Sneakers,None,Green,3,3.8,37.5,9.5,13.6425648,13.1,3.1,5.0,2.4
,2559,9710,36.22,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2559,No,Green,Fearless,None,Jeans,None,Boxing Gloves,Red,2,6.4,3.1,2.8,4.894762604,4.0,6.9,4.3,3.8
,2560,8021,41.95,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2560,No,Grey,Bored,Warpaint,Red Shorts,Claws,None,Grey,3,3.6,6.6,7.7,6.430868167,7.9,3.1,4.2,2.4
,2561,1924,81.22,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2561,No,Pink,Amazed,Red Mask,Diaper,Boots,None,Red,3,43.7,7.8,9.7,5.042864347,5.3,3.1,4.3,2.4
,2562,1178,110.76,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2562,No,Brown,Amazed,Blue Mask,Diaper,Boots,Nunchakus,Green,4,3.8,7.8,9.5,5.042864347,5.3,70.4,5.0,4.0
,2563,8404,40.93,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2563,No,Red,Amazed,None,Jeans,None,Boxing Gloves,Blue,2,4.7,7.8,2.8,4.894762604,4.0,6.9,6.0,3.8
,2564,2228,73.98,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2564,No,Red,Bored,Red Mask,Jeans,None,None,Pink,2,4.7,6.6,9.7,4.894762604,4.0,3.1,37.2,3.8
,2565,3454,58.42,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2565,No,Brown,Fearless,None,Kimono,Boots,Boxing Gloves,Blue,3,3.8,3.1,2.8,28.08988764,5.3,6.9,6.0,2.4
,2566,6236,46.59,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2566,No,Red,Amazed,Band-Aid,Red Shorts,Boots,None,Blue,3,4.7,7.8,10.9,6.430868167,5.3,3.1,6.0,2.4
,2567,2652,67.25,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2567,No,Grey,Angry,None,Kimono,None,None,Red,1,3.6,5.1,2.8,28.08988764,4.0,3.1,4.3,16.2
,2568,8816,39.71,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2568,No,Red,Angry,Red Mask,Diaper,None,None,Red,2,4.7,5.1,9.7,5.042864347,4.0,3.1,4.3,3.8
,2569,6211,46.66,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2569,No,Green,Fearless,Warpaint,Red Shorts,Claws,Black Gloves,Grey,4,6.4,3.1,7.7,6.430868167,7.9,6.9,4.2,4.0
,2570,9256,38.25,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2570,No,Brown,Bored,Mohawk,Jeans,None,None,Green,2,3.8,6.6,7.1,4.894762604,4.0,3.1,5.0,3.8
,2571,7082,44.49,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2571,No,Brown,Fearless,Red Mask,None,Boots,Claws,Green,3,3.8,3.1,9.7,4.27167877,5.3,11.0,5.0,2.4
,2572,4936,50.46,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2572,No,Brown,Bored,Coconut,Diaper,None,Boxing Gloves,Blue,3,3.8,6.6,15.6,5.042864347,4.0,6.9,6.0,2.4
,2573,3127,61.33,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2573,No,Blue,Bored,Band-Aid,None,Claws,None,Grey,2,20.5,6.6,10.9,4.27167877,7.9,3.1,4.2,3.8
,2574,7909,42.27,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2574,No,Grey,Fearless,None,Robe,Claws,None,Red,2,3.6,3.1,2.8,13.6425648,7.9,3.1,4.3,3.8
,2575,764,127.83,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2575,No,Brown,Angry,Monkey Hat,Robe,None,None,Yellow,2,3.8,5.1,86.2,13.6425648,4.0,3.1,8.2,3.8
,2576,2749,65.86,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2576,No,Green,Fearless,None,None,None,Bracelets,Grey,1,6.4,3.1,2.8,4.27167877,4.0,24.8,4.2,16.2
,2577,2485,69.64,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2577,No,Brown,Fearless,Coconut,Kimono,Socks,None,Blue,3,3.8,3.1,15.6,28.08988764,7.5,3.1,6.0,2.4
,2578,1672,88.98,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2578,No,Pink,Bored,None,None,Claws,None,Red,1,43.7,6.6,2.8,4.27167877,7.9,3.1,4.3,16.2
,2579,4860,50.77,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2579,No,Red,Bored,None,Diaper,None,None,Yellow,1,4.7,6.6,2.8,5.042864347,4.0,3.1,8.2,16.2
,2580,9755,35.87,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2580,No,Grey,Fearless,None,Jeans,None,Bandages,Blue,2,3.6,3.1,2.8,4.894762604,4.0,7.6,6.0,3.8
,2581,9110,38.79,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2581,No,Grey,Amazed,None,Jeans,None,Bandages,Red,2,3.6,7.8,2.8,4.894762604,4.0,7.6,4.3,3.8
,2582,3413,58.70,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2582,No,Green,Fearless,Coconut,Red Shorts,Claws,Claws,Grey,4,6.4,3.1,15.6,6.430868167,7.9,11.0,4.2,4.0
,2583,2951,63.30,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2583,No,Grey,Bored,Mohawk,Red Shorts,Anklet,None,Blue,3,3.6,6.6,7.1,6.430868167,28.1,3.1,6.0,2.4
,2584,5136,49.74,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2584,No,Red,Amazed,Warpaint,Diaper,Claws,Bandages,Green,4,4.7,7.8,7.7,5.042864347,7.9,7.6,5.0,4.0
,2585,3138,61.21,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2585,No,Blue,Fearless,None,None,Sneakers,Bandages,Blue,2,20.5,3.1,2.8,4.27167877,13.1,7.6,6.0,3.8
,2586,7352,43.81,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2586,No,Grey,Laughing,Band-Aid,Red Shorts,None,None,Blue,2,3.6,6.0,10.9,6.430868167,4.0,3.1,6.0,3.8
,2587,3551,57.66,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2587,No,Red,Angry,None,Jeans,Claws,Bracelets,Green,3,4.7,5.1,2.8,4.894762604,7.9,24.8,5.0,2.4
,2588,4319,53.01,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2588,No,Brown,Angry,Mohawk,Robe,Socks,Black Gloves,Green,4,3.8,5.1,7.1,13.6425648,7.5,6.9,5.0,4.0
,2589,1356,103.38,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2589,No,Pink,Bored,Warpaint,Kimono,Socks,None,Red,3,43.7,6.6,7.7,28.08988764,7.5,3.1,4.3,2.4
,2590,5154,49.66,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2590,No,Green,Angry,Blue Mask,Wrestling Trunks,None,None,Blue,2,6.4,5.1,9.5,11.80637544,4.0,3.1,6.0,3.8
,2591,9566,37.03,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2591,No,Brown,Fearless,None,Jeans,Bandages,Bandages,Green,3,3.8,3.1,2.8,4.894762604,7.4,7.6,5.0,2.4
,2592,2948,63.33,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2592,No,Red,Amazed,Red Mask,None,None,Bracelets,Red,2,4.7,7.8,9.7,4.27167877,4.0,24.8,4.3,3.8
,2593,6384,46.25,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2593,No,Green,Angry,Blue Mask,Jeans,Boots,Black Gloves,Grey,4,6.4,5.1,9.5,4.894762604,5.3,6.9,4.2,4.0
,2594,4124,54.11,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2594,No,Red,Fearless,None,None,Sneakers,Big Hands,Blue,2,4.7,3.1,2.8,4.27167877,13.1,16.3,6.0,3.8
,2595,8242,41.37,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2595,No,Red,Fearless,None,Wrestling Trunks,None,Boxing Gloves,Grey,2,4.7,3.1,2.8,11.80637544,4.0,6.9,4.2,3.8
,2596,7356,43.80,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2596,No,Grey,Laughing,Mohawk,None,None,Boxing Gloves,Yellow,2,3.6,6.0,7.1,4.27167877,4.0,6.9,8.2,3.8
,2597,8670,40.17,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2597,No,Grey,Bored,None,Jeans,Claws,Black Gloves,Green,3,3.6,6.6,2.8,4.894762604,7.9,6.9,5.0,2.4
,2598,5578,48.41,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2598,No,Brown,Fearless,Mohawk,Wrestling Trunks,Bandages,Boxing Gloves,Red,4,3.8,3.1,7.1,11.80637544,7.4,6.9,4.3,4.0
,2599,8331,41.11,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2599,No,Red,Laughing,Mohawk,Diaper,None,Bandages,Red,3,4.7,6.0,7.1,5.042864347,4.0,7.6,4.3,2.4
,2600,9869,34.88,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2600,No,Brown,Fearless,None,None,Boots,Bandages,Grey,2,3.8,3.1,2.8,4.27167877,5.3,7.6,4.2,3.8
,2601,5953,47.37,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2601,No,Red,Laughing,None,None,Boots,None,Green,1,4.7,6.0,2.8,4.27167877,5.3,3.1,5.0,16.2
,2602,3173,60.80,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2602,No,Green,Fearless,None,Kimono,Socks,None,Blue,2,6.4,3.1,2.8,28.08988764,7.5,3.1,6.0,3.8
,2603,4355,52.87,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2603,No,Red,Fearless,Coconut,Diaper,Bandages,Boxing Gloves,Blue,4,4.7,3.1,15.6,5.042864347,7.4,6.9,6.0,4.0
,2604,6237,46.59,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2604,No,Grey,Fearless,Coconut,Jeans,None,Black Gloves,Blue,3,3.6,3.1,15.6,4.894762604,4.0,6.9,6.0,2.4
,2605,7342,43.82,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2605,No,Brown,Bored,Warpaint,None,None,Bandages,Blue,2,3.8,6.6,7.7,4.27167877,4.0,7.6,6.0,3.8
,2606,2775,65.51,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2606,No,Blue,Amazed,None,Diaper,None,None,Blue,1,20.5,7.8,2.8,5.042864347,4.0,3.1,6.0,16.2
,2607,8994,39.18,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2607,No,Red,Bored,None,Red Shorts,Socks,None,Grey,2,4.7,6.6,2.8,6.430868167,7.5,3.1,4.2,3.8
,2608,5665,48.17,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2608,No,Red,Angry,Blue Mask,Diaper,Claws,Boxing Gloves,Green,4,4.7,5.1,9.5,5.042864347,7.9,6.9,5.0,4.0
,2609,2649,67.28,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2609,No,Grey,Bored,None,Jeans,Boots,None,Pink,2,3.6,6.6,2.8,4.894762604,5.3,3.1,37.2,3.8
,2610,8058,41.89,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2610,No,Red,Angry,Warpaint,Red Shorts,Socks,None,Green,3,4.7,5.1,7.7,6.430868167,7.5,3.1,5.0,2.4
,2611,4909,50.57,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2611,No,Brown,Angry,Mohawk,Red Shorts,Sneakers,Boxing Gloves,Grey,4,3.8,5.1,7.1,6.430868167,13.1,6.9,4.2,4.0
,2612,9130,38.71,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2612,No,Grey,Angry,None,None,Claws,Boxing Gloves,Red,2,3.6,5.1,2.8,4.27167877,7.9,6.9,4.3,3.8
,2613,5705,48.06,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2613,No,Green,Angry,Mohawk,Diaper,Boots,Claws,Grey,4,6.4,5.1,7.1,5.042864347,5.3,11.0,4.2,4.0
,2614,5785,47.80,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2614,No,Brown,Laughing,Band-Aid,Jeans,None,Bandages,Yellow,3,3.8,6.0,10.9,4.894762604,4.0,7.6,8.2,2.4
,2615,9279,38.17,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2615,No,Red,Amazed,None,Red Shorts,Boots,None,Red,2,4.7,7.8,2.8,6.430868167,5.3,3.1,4.3,3.8
,2616,492,146.93,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2616,No,Brown,Fearless,None,Kimono,Anklet,Nunchakus,Yellow,3,3.8,3.1,2.8,28.08988764,28.1,70.4,8.2,2.4
,2617,9684,36.39,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2617,No,Grey,Fearless,None,Diaper,Socks,Bandages,Red,3,3.6,3.1,2.8,5.042864347,7.5,7.6,4.3,2.4
,2618,2023,79.00,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2618,No,Pink,Bored,Mohawk,Red Shorts,None,None,Red,2,43.7,6.6,7.1,6.430868167,4.0,3.1,4.3,3.8
,2619,5324,49.17,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2619,No,Green,Bored,None,Robe,None,Boxing Gloves,Green,2,6.4,6.6,2.8,13.6425648,4.0,6.9,5.0,3.8
,2620,1503,97.70,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2620,No,Brown,Fearless,None,Jeans,Boots,Nunchakus,Green,3,3.8,3.1,2.8,4.894762604,5.3,70.4,5.0,2.4
,2621,7451,43.54,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2621,No,Green,Fearless,Red Mask,Diaper,None,Boxing Gloves,Blue,3,6.4,3.1,9.7,5.042864347,4.0,6.9,6.0,2.4
,2622,4438,52.56,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2622,No,Brown,Amazed,Warpaint,Diaper,Sneakers,Boxing Gloves,Red,4,3.8,7.8,7.7,5.042864347,13.1,6.9,4.3,4.0
,2623,9104,38.82,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2623,No,Brown,Fearless,Warpaint,Jeans,None,Boxing Gloves,Blue,3,3.8,3.1,7.7,4.894762604,4.0,6.9,6.0,2.4
,2624,4183,53.77,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2624,No,Grey,Amazed,Red Mask,Diaper,None,Big Hands,Green,3,3.6,7.8,9.7,5.042864347,4.0,16.3,5.0,2.4
,2625,3592,57.29,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2625,No,Brown,Amazed,Blue Mask,Robe,Socks,Boxing Gloves,Grey,4,3.8,7.8,9.5,13.6425648,7.5,6.9,4.2,4.0
,2626,3748,56.23,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2626,No,Grey,Fearless,Coconut,Jeans,Sneakers,Bandages,Red,4,3.6,3.1,15.6,4.894762604,13.1,7.6,4.3,4.0
,2627,8320,41.13,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2627,No,Brown,Bored,None,None,Claws,Boxing Gloves,Green,2,3.8,6.6,2.8,4.27167877,7.9,6.9,5.0,3.8
,2628,9668,36.47,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2628,No,Brown,Fearless,Mohawk,Jeans,Claws,None,Grey,3,3.8,3.1,7.1,4.894762604,7.9,3.1,4.2,2.4
,2629,3152,61.00,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2629,No,Green,Bored,Mohawk,Jeans,Socks,Big Hands,Yellow,4,6.4,6.6,7.1,4.894762604,7.5,16.3,8.2,4.0
,2630,3585,57.34,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2630,No,Blue,Laughing,Blue Mask,Red Shorts,Boots,None,Grey,3,20.5,6.0,9.5,6.430868167,5.3,3.1,4.2,2.4
,2631,9008,39.13,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2631,No,Brown,Fearless,Blue Mask,Diaper,Claws,None,Red,3,3.8,3.1,9.5,5.042864347,7.9,3.1,4.3,2.4
,2632,9625,36.73,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2632,No,Grey,Angry,None,Red Shorts,Boots,Boxing Gloves,Grey,3,3.6,5.1,2.8,6.430868167,5.3,6.9,4.2,2.4
,2633,5537,48.53,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2633,No,Red,Fearless,None,Robe,Sneakers,None,Red,2,4.7,3.1,2.8,13.6425648,13.1,3.1,4.3,3.8
,2634,6351,46.32,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2634,No,Red,Angry,Mohawk,Diaper,Boots,Boxing Gloves,Yellow,4,4.7,5.1,7.1,5.042864347,5.3,6.9,8.2,4.0
,2635,6864,45.05,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2635,No,Grey,Laughing,None,Robe,None,Black Gloves,Red,2,3.6,6.0,2.8,13.6425648,4.0,6.9,4.3,3.8
,2636,4491,52.34,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2636,No,Red,Bored,Red Mask,Red Shorts,Claws,Boxing Gloves,Blue,4,4.7,6.6,9.7,6.430868167,7.9,6.9,6.0,4.0
,2637,9422,37.63,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2637,No,Red,Fearless,Red Mask,Diaper,None,None,Grey,2,4.7,3.1,9.7,5.042864347,4.0,3.1,4.2,3.8
,2638,6510,45.92,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2638,No,Grey,Laughing,Band-Aid,Diaper,Boots,Black Gloves,Grey,4,3.6,6.0,10.9,5.042864347,5.3,6.9,4.2,4.0
,2639,7157,44.33,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2639,No,Grey,Fearless,Red Mask,Red Shorts,None,Boxing Gloves,Yellow,3,3.6,3.1,9.7,6.430868167,4.0,6.9,8.2,2.4
,2640,9152,38.64,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2640,No,Green,Fearless,None,Jeans,Claws,Boxing Gloves,Grey,3,6.4,3.1,2.8,4.894762604,7.9,6.9,4.2,2.4
,2641,6601,45.71,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2641,No,Brown,Angry,None,Robe,Boots,None,Yellow,2,3.8,5.1,2.8,13.6425648,5.3,3.1,8.2,3.8
,2642,4866,50.75,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2642,No,Red,Bored,Blue Mask,Diaper,Claws,Boxing Gloves,Blue,4,4.7,6.6,9.5,5.042864347,7.9,6.9,6.0,4.0
,2643,7614,43.08,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2643,No,Green,Laughing,None,None,Claws,Bandages,Red,2,6.4,6.0,2.8,4.27167877,7.9,7.6,4.3,3.8
,2644,1093,115.25,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2644,No,Yellow,Fearless,Blue Mask,Diaper,Boots,None,Grey,3,82.6,3.1,9.5,5.042864347,5.3,3.1,4.2,2.4
,2645,6413,46.18,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2645,No,Red,Fearless,None,Red Shorts,Sneakers,Bandages,Blue,3,4.7,3.1,2.8,6.430868167,13.1,7.6,6.0,2.4
,2646,5323,49.17,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2646,No,Green,Amazed,Warpaint,None,None,Claws,Red,2,6.4,7.8,7.7,4.27167877,4.0,11.0,4.3,3.8
,2647,1265,106.97,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2647,No,Red,Fearless,Warpaint,Jeans,Claws,Nunchakus,Grey,4,4.7,3.1,7.7,4.894762604,7.9,70.4,4.2,4.0
,2648,4301,53.12,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2648,No,Blue,Fearless,None,None,Socks,Boxing Gloves,Grey,2,20.5,3.1,2.8,4.27167877,7.5,6.9,4.2,3.8
,2649,4467,52.42,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2649,No,Grey,Laughing,Warpaint,Red Shorts,None,Big Hands,Blue,3,3.6,6.0,7.7,6.430868167,4.0,16.3,6.0,2.4
,2650,7070,44.53,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2650,No,Grey,Laughing,Band-Aid,Red Shorts,None,Black Gloves,Red,3,3.6,6.0,10.9,6.430868167,4.0,6.9,4.3,2.4
,2651,2027,78.94,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2651,No,Blue,Angry,Mohawk,Diaper,Bandages,Bracelets,Green,4,20.5,5.1,7.1,5.042864347,7.4,24.8,5.0,4.0
,2652,1993,79.69,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2652,No,Brown,Amazed,Warpaint,Kimono,Sneakers,Claws,Red,4,3.8,7.8,7.7,28.08988764,13.1,11.0,4.3,4.0
,2653,1119,114.20,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2653,No,Green,Laughing,Mohawk,Champion Belt,Claws,Bandages,Red,4,6.4,6.0,7.1,70.92198582,7.9,7.6,4.3,4.0
,2654,4311,53.08,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2654,No,Brown,Angry,Blue Mask,Red Shorts,Sneakers,Boxing Gloves,Red,4,3.8,5.1,9.5,6.430868167,13.1,6.9,4.3,4.0
,2655,6996,44.76,Qmak8RVrMWWLEsGtTgVqUJ5a7kkouM2atjyynWT5qQCP2N/2655,No,Grey,Fearless,Blue Mask,Wrestling Trunks,Boots,None,Blue,3,3.6,3.1,9.5,11.80637544,5.3,3.1,6.0,2.4
